0.738413,0.821342,0.0,0.793182,0.775212,0.705604,0.752174
0.787976,0.790573,0.0,0.803275,0.783053,0.843972,0.794729
0.839908,0.786617,0.0,0.794209,0.847071,0.814733,0.814465
0.821072,0.828367,0.0,0.808026,0.77251,0.797524,0.84064
0.784693,0.859366,0.0,0.854896,0.827825,0.814649,0.770645
0.867814,0.782892,0.0,0.836155,0.866565,0.889216,0.878144
0.842612,0.86103,0.0,0.811806,0.845872,0.787314,0.848701
0.838974,0.874172,0.0,0.867853,0.805145,0.862389,0.827073
0.848634,0.827606,0.0,0.865429,0.89203,0.865957,0.844915
0.87272,0.829319,0.0,0.809977,0.838784,0.855161,0.892175
0.809931,0.884985,0.0,0.854151,0.809288,0.793498,0.774012
0.828702,0.798648,0.0,0.861046,0.849942,0.875782,0.848728
0.825806,0.803959,0.0,0.777725,0.851711,0.796924,0.846708
0.832364,0.838177,0.0,0.805845,0.750115,0.81113,0.804136
0.761795,0.8071,0.0,0.84253,0.827334,0.785405,0.753872
0.802319,0.738295,0.0,0.750573,0.800227,0.829592,0.844431
0.791849,0.81885,0.0,0.759155,0.756529,0.732586,0.740782
0.759357,0.775152,0.0,0.820774,0.752574,0.787314,0.769648
0.738735,0.75202,0.0,0.762478,0.815537,0.766519,0.779411
0.832402,0.761826,0.0,0.737186,0.753269,0.807459,0.80799
0.761847,0.820459,0.0,0.813035,0.787477,0.728672,0.7375
0.768814,0.776711,0.0,0.80086,0.783302,0.829741,0.812388
0.83663,0.806531,0.0,0.784776,0.830251,0.812241,0.80453



















